Recipe,Base,Ingredients
PlantSmoky1,plant,"Extra-firm tofu, liquid smoke, smoked paprika, maple syrup, soy sauce, minced garlic, olive oil"
PlantSmoky2,plant,"Seitan, chipotle peppers in adobo, liquid smoke, smoked paprika, tamari, garlic powder, olive oil"
PlantSmoky3,plant,"Tempeh, liquid smoke, barbecue sauce, smoked paprika, soy sauce, minced garlic, olive oil"
MeatSmoky1,meat,"Chicken thighs, liquid smoke, smoked paprika, barbecue sauce, minced garlic, olive oil"
MeatSmoky2,meat,"Pork ribs, liquid smoke, honey, mesquite seasoning, barbecue sauce, minced garlic, olive oil"
MeatSmoky3,meat,"Beef strips, liquid smoke, smoked paprika, teriyaki sauce, garlic powder, olive oil"
PlantTaco1,plant,"Soy crumbles, Paprika, Cumin, Black pepper, Garlic powder, Oregano, Lime, corn tortillas, lettuce, tomato, pickled red onions, cilantro, lime wedges"
PlantTaco2,plant,"Lentils, mushrooms, Paprika, Cumin, Black pepper, Garlic powder, Oregano, Lime, corn tortillas, lettuce, tomato, onion, avocado, lime juice"
PlantTaco3,plant,"Black beans, corn, Paprika, Cumin, Black pepper, Garlic powder, Oregano, Lime, brown rice, lettuce, tomato, onion, salsa, guacamole"
MeatTaco1,meat,"Ground beef, paprika, cumin, black pepper, garlic powder, oregano, lime, corn tortillas, lettuce, tomato, onion, cheese, salsa"
MeatTaco2,meat,"Shredded chicken, paprika, cumin, black pepper, garlic powder, oregano, lime, brown rice, lettuce, tomato, onion, cheese, salsa, guacamole"
MeatTaco3,meat,"Ground turkey, black beans, paprika, cumin, black pepper, garlic powder, oregano, lime, corn tortillas, lettuce, tomato, onion, avocado"
PlantAsian1,plant,"Extra-firm tofu, soy sauce, ginger, garlic, sesame oil, green onions, broccoli, rice"
PlantAsian2,plant,"Rice paper, julienned vegetables (carrots, cucumber, bell peppers), tofu or tempeh, peanut sauce"
PlantAsian3,plant,"Edamame noodles, shiitake mushrooms, soy sauce, garlic, sesame oil, green onions"
MeatAsian1,meat,"Chicken strips, soy sauce, ginger, garlic, sesame oil, green onions, broccoli, rice."
MeatAsian2,meat,"Beef strips, teriyaki sauce, broccoli, soy sauce, garlic, ginger, rice."
MeatAsian3,meat,"Shrimp, rice noodles, tamarind paste, fish sauce, lime, peanuts, bean sprouts"
PlantBasic1,plant,"Chickpeas, spinach, curry powder, coconut milk, garlic, onion, rice."
PlantBasic2,plant,"Lentils, mixed vegetables, vegetable broth, garlic, onion, cumin, coriander, tomato."
PlantBasic3,plant,"Quinoa, roasted vegetables (zucchini, bell peppers, cherry tomatoes), olive oil, lemon, garlic"
MeatBasic1,meat,"Ground beef, tomato sauce, garlic, onion, Italian herbs, pasta."
MeatBasic2,meat,"Chicken breast, mixed vegetables (carrots, potatoes, bell peppers), olive oil, garlic, rosemary"
MeatBasic3,meat,"Beef strips, mixed vegetables, soy sauce, garlic, ginger, rice."
